,city,hml,target
381,Bryan,Medium,No
382,North Bethesda,High,No
383,Bridgewater,High,No
384,Rockford,Low,No
385,Fort Wayne,Medium,No
386,Hemet,Medium,No
387,Watsonville,High,No
388,Racine,NA,No
389,North Bethesda,Low,No
390,Elizabeth,Low,Yes
391,North Bethesda,High,No
392,Gilbert,Medium,No
393,Wheaton-Glenmont,Medium,No
394,Carson,Low,No
395,Hilo,High,No
396,San Clemente,Medium,No
397,NA,Medium,No
398,Garden Grove,Medium,No
399,Grand Island,Low,No
400,NA,NA,No
401,Westland,Low,No
402,Detroit,High,No
403,Athens-Clarke,Low,Yes
404,Toledo,Medium,Yes
405,NA,Medium,No
406,Hartford,Low,Yes
407,Ames,Medium,No
408,Fort Smith,NA,No
409,Newport News,Low,Yes
410,Blacksburg,Medium,No
411,Yorba Linda,Medium,No
412,Jupiter,High,No
413,Ellicott City,Low,Yes
414,Wheaton-Glenmont,High,No
415,Jupiter,High,No
416,Grand Island,Medium,No
417,Yonkers,Medium,No
418,Pocatello,Low,No
419,Waterbury,Low,No
420,Woodland,High,No
421,Fort Myers,Low,No
422,Bellflower,Medium,No
423,Alameda,Low,No
424,Waterbury,High,No
425,Carson,Medium,No
426,DeKalb,Medium,No
427,Minneapolis,Medium,No
428,Minneapolis,High,No
429,Cherry Hill,High,No
430,Concord,Medium,No
431,NA,Medium,No
432,Kendall,High,No
433,Franconia,Medium,No
434,Florence-Graham,Low,Yes
435,Fond du Lac,Low,No
436,Turlock,Medium,No
437,Ellicott City,Low,No
438,NA,Low,Yes
439,Walnut Creek,High,No
440,Bryan,NA,Yes
441,West Orange,Medium,No
442,Carson,Low,No
443,Fond du Lac,Medium,No
444,Fort Myers,Low,Yes
445,Bridgewater,High,No
446,Ames,Medium,No
447,Nashua,Low,No
448,Fort Myers,High,No
449,Indio,Low,Yes
450,Alameda,Low,No
451,DeKalb,Medium,No
452,Saint Louis Park,High,No
453,Glendora,Medium,Yes
454,North Bethesda,Medium,No
455,Vacaville,High,No
456,Citrus Heights,Low,No
457,Wilson,High,No
458,Rockford,High,No
459,Bolingbrook,High,No
460,Franconia,Medium,No
461,Hattiesburg,Medium,No
462,Pocatello,Medium,No
463,Newport News,Low,Yes
464,Apple Valley,High,No
465,Minnetonka,Low,No
466,Nashua,High,No
467,Edinburg,Low,No
468,Peoria,High,No
469,Battle Creek,Medium,No
470,Bellflower,Low,No
471,Racine,Medium,No
472,NA,Low,No
473,West Orange,Low,Yes
474,Turlock,Low,No
475,Pasco,High,No
476,Findlay,Low,No
477,Glendora,Medium,No
478,Passaic,Medium,No
479,Cherry Hill,Low,Yes
480,Hilo,High,No
481,Beaverton,Medium,No
482,West Sacramento,Medium,No
483,Yorba Linda,High,Yes
484,Franconia,Low,No
485,Wilkes-Barre,Low,Yes
486,Pharr,High,No
487,Watsonville,Low,Yes
488,Walnut Creek,Low,No
489,Crystal Lake,Low,No
490,Yonkers,Low,No
491,Minneapolis,Low,Yes
492,Findlay,Low,No
493,Boynton Beach,Low,No
494,Elizabeth,High,No
495,Crystal Lake,Medium,No
496,Sarasota,Medium,No
497,Yonkers,Medium,Yes
498,Saint Louis Park,NA,No
499,Pleasanton,Medium,No
500,Pearland,High,No
501,Wilkes-Barre,Medium,No
502,Ellicott City,Medium,No
503,Westminster,Medium,No
504,Westminster,Low,Yes
505,Minnetonka,High,No
506,Florence-Graham,Low,No
507,Pocatello,Low,No
508,Chandler,Low,Yes
509,Hoboken,High,No
510,Wilson,Low,Yes
511,Yonkers,Medium,No
512,Toledo,NA,Yes
513,Shelby,Medium,No
514,Crystal Lake,Low,Yes
515,Pittsburgh,Medium,No
516,Wilkes-Barre,Medium,No
517,Fort Wayne,Low,No
518,Apple Valley,High,No
519,Crystal Lake,High,No
520,Overland Park,NA,Yes
521,Gilbert,Medium,No
522,Crystal Lake,Medium,No
523,Chico,High,No
524,Vacaville,Low,No
525,Crystal Lake,Medium,No
526,Passaic,High,No
527,Glendora,Low,No
528,Crystal Lake,Low,Yes
529,Battle Creek,High,No
530,Sioux City,High,No
531,Concord,Medium,No
532,Kalamazoo,High,No
533,Fort Myers,Medium,No
534,Franconia,High,No
535,Shelby,High,No
536,San Clemente,Low,Yes
537,West Orange,High,No
538,Wilson,Low,No
539,Fort Wayne,Low,Yes
540,Hemet,Medium,No
541,Citrus Heights,Low,Yes
542,Bryan,Low,Yes
543,Shelby,Low,Yes
544,Franconia,High,No
545,NA,Low,No
546,Concord,NA,No
547,Joliet,High,No
548,Sarasota,Low,No
549,Crystal Lake,Medium,No
550,Turlock,High,No
551,Cary,NA,No
552,Mesa,High,Yes
553,Battle Creek,Medium,No
554,Beaverton,NA,No
555,Cherry Hill,Medium,No
556,Mesa,Medium,No
557,San Clemente,High,No
558,Hattiesburg,High,No
559,Kendall,Low,Yes
560,Wilkes-Barre,High,No
561,Dothan,Low,No
562,Garden Grove,Medium,No
563,Hilo,Medium,Yes
564,Waterbury,NA,Yes
565,Pittsburgh,High,No
566,Yorba Linda,High,No
567,NA,NA,No
568,Watsonville,Medium,No
569,Franconia,Low,No
570,Edinburg,High,No
571,Rockford,Low,Yes
572,Topeka,Low,No
573,Chico,High,No
574,Pearland,Medium,No
575,NA,Low,Yes
576,NA,High,No
577,Indio,High,No
578,Woodland,High,No
579,Newport News,Low,No
580,Haverhill,Medium,No
581,Pharr,High,No
582,San Clemente,Medium,No
583,Apple Valley,High,No
584,Haverhill,Low,No
585,Austin,Low,No
586,Saint Louis Park,Medium,No
587,Citrus Heights,Low,No
588,Kalamazoo,NA,No
589,Overland Park,High,No
590,Bridgewater,NA,No
591,Hartford,Medium,Yes
592,Vacaville,Medium,No
593,Pittsburgh,High,No
594,Jupiter,High,No
595,Montgomery Village,Medium,No
596,Salt Lake City,Low,No
597,Pleasanton,Medium,No
598,Woodland,Low,Yes
599,Ames,Medium,No
600,Somerville,Low,No
601,Chico,High,No
602,Waterbury,Low,Yes
603,Bridgewater,Medium,No
604,North Bethesda,Medium,No
605,Battle Creek,NA,Yes
606,Waterbury,Medium,No
607,Vacaville,Low,No
608,Cary,Medium,No
609,Florence-Graham,Medium,Yes
610,Hilo,High,No
611,Minneapolis,High,No
612,Wilkes-Barre,Low,No
613,Hilo,Medium,No
614,Saint Louis Park,Low,No
615,Pocatello,High,No
616,Grand Island,High,No
617,Yonkers,NA,No
618,Topeka,Low,Yes
619,Cherry Hill,Medium,No
620,NA,High,No
621,Salt Lake City,Medium,No
622,Detroit,Low,Yes
623,Athens-Clarke,High,No
624,Battle Creek,Medium,Yes
625,Elizabeth,Medium,No
626,Waterbury,High,No
627,Eau Claire,Medium,No
628,Woodland,High,No
629,Westland,High,No
630,West Sacramento,High,No
631,Pearland,Low,No
632,Bolingbrook,High,No
633,Pittsburgh,Low,Yes
634,Fond du Lac,Medium,No
635,Findlay,Low,No
636,Yonkers,High,No
637,Walnut Creek,Medium,No
638,Woodland,High,No
639,Fort Smith,Medium,No
640,Blacksburg,High,No
641,Fort Myers,NA,Yes
642,Montgomery Village,High,No
643,Waterbury,Medium,No
644,Eau Claire,Low,Yes
645,Pleasanton,Low,No
646,NA,Low,No
647,Austin,Low,No
648,Pocatello,Low,No
649,Watsonville,NA,No
650,West Sacramento,Medium,No
651,Austin,High,No
652,Peoria,High,No
653,Saint Louis Park,Medium,No
654,Pharr,Medium,No
655,Hartford,Low,No
656,Bryan,Medium,No
657,Crystal Lake,High,No
658,Athens-Clarke,NA,Yes
659,Joliet,Medium,Yes
660,Peoria,Medium,No
661,Fort Worth,High,No
662,Alameda,Medium,No
663,Woodland,Low,No
664,DeKalb,Low,No
665,NA,Medium,No
666,Minnetonka,Medium,No
667,NA,Medium,No
668,Wilkes-Barre,Medium,No
669,Chico,Low,No
670,Hoboken,Low,No
671,Hattiesburg,Medium,No
672,Saint Louis Park,Low,No
673,Bellflower,High,No
674,Toledo,Medium,No
675,Westminster,High,No
676,Joliet,Low,No
677,Franconia,Low,Yes
678,Beaverton,Medium,No
679,DeKalb,Medium,No
680,Florence-Graham,Low,No
681,Athens-Clarke,High,No
682,San Buenaventura,Medium,No
683,Hoboken,High,No
684,Beaverton,Medium,No
685,Vacaville,Low,No
686,Lynwood,High,No
687,Elizabeth,High,No
688,Kalamazoo,High,No
689,Saint Louis Park,Medium,No
690,Sarasota,High,No
691,Findlay,High,No
692,NA,High,No
693,Woodland,Low,No
694,Charleston,Low,Yes
695,Vacaville,Low,No
696,Mesa,NA,No
697,Kendall,Low,No
698,NA,High,No
699,Fort Smith,NA,Yes
700,Minnetonka,High,No
701,Hartford,NA,Yes
702,Turlock,High,No
703,Concord,High,No
704,Elizabeth,Low,Yes
705,Sioux City,Medium,Yes
706,Eau Claire,High,No
707,Detroit,Low,No
708,North Bethesda,Low,No
709,Hoboken,Medium,No
710,Wheaton-Glenmont,Medium,No
711,NA,Low,Yes
712,NA,Medium,No
713,Elizabeth,Medium,No
714,Detroit,Medium,No
715,Blacksburg,Low,No
716,Vacaville,Low,No
717,Toledo,Medium,No
718,Florence-Graham,High,No
719,Racine,Medium,No
720,Waterbury,Low,No
721,Overland Park,High,No
722,Carson,Medium,No
723,Joliet,High,No
724,Garden Grove,High,No
725,Findlay,Low,No
726,Racine,Low,Yes
727,Fort Smith,High,No
728,NA,NA,No
729,Jupiter,Low,No
730,Mansfield,High,No
731,Pittsburgh,Low,No
732,Watsonville,High,No
733,Fort Wayne,Medium,No
734,Fond du Lac,Medium,No
735,San Clemente,High,No
736,Florence-Graham,NA,Yes
737,Cary,Medium,No
738,Wheaton-Glenmont,Medium,No
739,Woodland,Medium,No
740,Newport News,Medium,No
741,Somerville,Medium,No
742,Alameda,High,No
743,Cary,NA,Yes
744,Kendall,High,No
745,Shelby,Medium,No
746,Bryan,Medium,No
747,Edinburg,Medium,No
748,Bloomfield,Medium,No
749,Overland Park,NA,Yes
750,Franconia,Medium,No
751,Sarasota,Medium,No
752,Bloomfield,Low,Yes
753,Grand Island,Medium,No
754,Charleston,High,No
755,Wheaton-Glenmont,Low,Yes
756,Dothan,Medium,No
757,West Sacramento,Low,Yes
758,Austin,High,No
759,Chico,Low,No
760,Cherry Hill,Medium,No
761,Mansfield,High,No
762,Westland,Medium,No
763,Crystal Lake,NA,Yes
764,West Orange,Medium,No
765,Walnut Creek,Low,Yes
766,West Orange,Low,No
767,NA,Medium,No
768,Montgomery Village,Low,Yes
769,Saint Louis Park,NA,No
770,NA,High,No
771,Westland,Medium,Yes
772,Hartford,NA,Yes
773,Bridgewater,Low,No
774,Ames,Low,No
775,Charleston,Medium,No
776,Charleston,High,No
777,Elizabeth,Low,No
778,Hemet,Medium,No
779,Somerville,High,No
780,Eau Claire,Low,No
781,Nashua,Medium,No
782,Fort Wayne,Medium,No
783,Pharr,Medium,No
784,Pasco,Medium,No
785,Findlay,Medium,No
786,Broken Arrow,Medium,Yes
787,Fort Worth,Medium,No
788,Pearland,Low,No
789,NA,Medium,No
790,San Buenaventura,High,No
791,Montgomery Village,NA,No
792,Hoboken,High,No
793,Kalamazoo,High,No
794,Montgomery Village,High,No
795,Glendora,NA,No
796,Beaverton,High,No
797,Pearland,NA,No
798,NA,Low,No
799,Yorba Linda,Low,No
800,Overland Park,Low,Yes
801,Mansfield,Medium,No
802,Hilo,Medium,No
803,Hamilton,Medium,No
804,Cary,Low,No
805,Mansfield,Medium,Yes
806,NA,Low,Yes
807,Yorba Linda,High,No
808,Fort Worth,Medium,No
809,Chico,High,No
810,Pleasanton,Low,No
811,Florence-Graham,Medium,No
812,Shelby,Medium,No
813,Kalamazoo,Medium,No
814,Hemet,Medium,No
815,Blacksburg,Medium,No
816,Walnut Creek,High,No
817,West Orange,High,No
818,Battle Creek,High,No
819,Hamilton,High,No
820,Hamilton,High,No
821,Topeka,High,No
822,Carson,High,No
823,Charleston,Low,No
824,Yorba Linda,Low,No
825,Cherry Hill,Medium,No
826,Minnetonka,Medium,No
827,Pharr,High,No
828,DeKalb,High,No
829,Fort Myers,Low,Yes
830,NA,High,No
831,Hartford,High,No
832,Beaverton,Medium,No
833,Edinburg,Low,No
834,Detroit,NA,No
835,Waterbury,Low,No
836,Sarasota,Medium,No
837,West Orange,Low,Yes
838,Crystal Lake,High,No
839,Watsonville,Medium,No
840,Broken Arrow,Medium,No
841,Fort Smith,Medium,No
842,Kalamazoo,Medium,No
843,Salt Lake City,Medium,No
844,Fort Wayne,Medium,No
845,Bryan,High,No
846,Pittsburgh,Low,No
847,Pocatello,High,No
848,Sarasota,Low,No
849,Yonkers,Medium,No
850,Hilo,High,No
851,Pasco,High,No
852,Pleasanton,Medium,No
853,Overland Park,Medium,No
854,Rockford,Low,No
855,West Orange,Medium,Yes
856,Nashua,Low,No
857,Wilson,Medium,No
858,Nashua,High,No
859,West Sacramento,Medium,No
860,Toledo,Medium,No
861,Pleasanton,High,No
862,Racine,Medium,No
863,Pearland,Medium,No
864,Vacaville,Medium,Yes
865,Battle Creek,Medium,No
866,Garden Grove,Medium,Yes
867,Bridgewater,Low,Yes
868,Pocatello,Low,No
869,Findlay,Medium,No
870,Kalamazoo,Medium,Yes
871,Hoboken,Low,Yes
872,Bolingbrook,High,No
873,Turlock,High,No
874,Apple Valley,Medium,Yes
875,West Orange,Low,Yes
876,Bloomfield,High,Yes
877,Hilo,Medium,No
878,Hamilton,Medium,No
879,Blacksburg,Medium,No
880,Garden Grove,Medium,No
881,Pearland,Low,Yes
882,Chico,High,No
883,Rockford,Low,Yes
884,Rockford,Medium,No
885,Athens-Clarke,High,No
886,Mesa,High,No
887,Dothan,Medium,No
888,Montgomery Village,Low,No
889,Westminster,Medium,No
890,Athens-Clarke,High,No
891,Charleston,High,No
892,Fort Wayne,High,No
893,Pittsburgh,Medium,No
894,NA,Medium,No
895,Grand Island,Low,Yes
896,Pleasanton,High,No
897,Racine,High,No
898,Glendora,Medium,No
899,Hattiesburg,Medium,No
900,NA,High,No
901,Salt Lake City,Medium,Yes
902,Franconia,Medium,No
903,San Buenaventura,High,No
904,Saint Louis Park,High,No
905,Glendora,High,No
906,Peoria,Low,No
907,Gilbert,Low,Yes
908,Edinburg,NA,No
909,Fort Myers,Low,Yes
910,West Orange,Medium,No
911,Fond du Lac,Low,Yes
912,Yorba Linda,High,No
913,Woodland,Medium,No
914,Hartford,Medium,No
915,Yorba Linda,High,No
916,NA,High,No
917,Hoboken,Low,No
918,Kalamazoo,Medium,No
919,Fort Smith,Low,No
920,Florence-Graham,Medium,Yes
921,Cherry Hill,High,No
922,San Buenaventura,Low,No
923,Passaic,NA,No
924,Nashua,High,No
925,DeKalb,High,No
926,Sioux City,Low,No
927,Fort Myers,Low,Yes
928,Carson,High,No
929,Sarasota,Low,Yes
930,Saint Louis Park,High,No
931,Wheaton-Glenmont,Medium,No
932,Saint Louis Park,NA,No
933,Mesa,Medium,No
934,Elizabeth,Medium,No
935,North Bethesda,Low,No
936,NA,Low,No
937,Mansfield,Medium,No
938,Kalamazoo,Low,Yes
939,Peoria,Medium,No
940,Waterbury,Low,No
941,Bellflower,High,No
942,Saint Louis Park,Low,No
943,Yorba Linda,High,No
944,Montgomery Village,Medium,No
945,Charleston,Medium,No
946,San Clemente,Medium,Yes
947,Battle Creek,High,No
948,Pleasanton,Low,No
949,Ellicott City,Medium,No
950,Waterbury,High,No
951,Joliet,Low,No
952,Rockford,Medium,No
953,Wilson,Medium,No
954,Hilo,High,No
955,Fort Wayne,High,No
956,Shelby,Medium,No
957,Watsonville,High,No
958,Glendora,High,No
959,Salt Lake City,NA,No
960,Franconia,Medium,No
961,Nashua,Medium,No
962,Watsonville,Low,No
963,Haverhill,High,No
964,NA,High,No
965,Fond du Lac,High,No
966,Ellicott City,Low,No
967,Pleasanton,Low,No
968,Shelby,Medium,No
969,Pleasanton,Medium,No
970,Kalamazoo,High,No
971,Athens-Clarke,Low,Yes
972,Eau Claire,Low,No
973,Hilo,Medium,No
974,Saint Louis Park,High,No
975,Salt Lake City,High,No
976,Wilson,Medium,No
977,Wheaton-Glenmont,High,No
978,Ellicott City,Low,No
979,Fort Worth,NA,Yes
980,Rockford,High,No
981,Topeka,Medium,No
982,Chandler,Medium,Yes
983,Peoria,High,No
984,Newport News,Medium,No
985,Jupiter,Low,Yes
986,Hilo,Medium,No
987,Turlock,Low,Yes
988,Minnetonka,NA,No
989,Alameda,Low,No
990,Bolingbrook,High,No
991,Hilo,High,No
992,Cherry Hill,High,Yes
993,Crystal Lake,High,No
994,Watsonville,Medium,No
995,Salt Lake City,Low,Yes
996,Turlock,High,No
997,Concord,Low,No
998,NA,Medium,No
999,Saint Louis Park,Low,No
1000,Florence-Graham,Low,No
1001,Fort Smith,Low,No
1002,Minneapolis,Low,No
1003,Pharr,High,No
1004,Detroit,Medium,No
1005,Cary,NA,Yes
1006,Wheaton-Glenmont,High,No
1007,Westminster,Medium,No
1008,Nashua,High,No
1009,Somerville,Low,Yes
1010,Hartford,Low,No
1011,Pasco,Low,No
1012,Nashua,Low,No
1013,Elizabeth,High,No
1014,DeKalb,Medium,No
1015,Watsonville,Low,No
1016,Yonkers,High,No
1017,Rockford,Medium,No
1018,Mansfield,Low,No
1019,Fort Smith,High,No
1020,West Orange,Low,No
1021,Sioux City,High,No
1022,Bolingbrook,Medium,No
1023,Bloomfield,High,No
1024,Bridgewater,High,No
1025,Passaic,High,No
1026,Sioux City,Low,No
1027,Wilson,Low,No
1028,NA,Low,No
1029,Shelby,NA,No
1030,Glendora,Medium,No
1031,Concord,Low,No
1032,Boynton Beach,Low,No
1033,Westminster,Low,No
1034,Alameda,Low,No
1035,DeKalb,Low,Yes
1036,Nashua,High,No
1037,Turlock,Low,No
1038,Kendall,Low,No
1039,Passaic,Low,No
